"Date","Time (h)","Time (decimal)","Amount (EUR)"
"21/12/2024","07:17:57","7.30","1.48"
"22/12/2024","02:01:48","2.03",""
"23/12/2024","03:57:29","3.96",""
"25/12/2024","05:01:01","5.02",""
"26/12/2024","01:48:32","1.81",""
"27/12/2024","03:24:56","3.42",""
"28/12/2024","02:31:53","2.53",""
"29/12/2024","00:22:51","0.38","6.66"
"30/12/2024","00:23:35","0.39","6.88"
"31/12/2024","02:56:56","2.95","49.46"
"02/01/2025","04:08:35","4.14","17.29"
"03/01/2025","01:27:34","1.46",""
"04/01/2025","00:36:55","0.62",""
"05/01/2025","04:37:00","4.62",""
"06/01/2025","07:18:50","7.31","51.81"
"07/01/2025","07:36:16","7.60","4.38"
"08/01/2025","06:29:47","6.50","5.27"
"09/01/2025","03:49:30","3.83","22.82"
"10/01/2025","06:53:26","6.89","68.17"
"11/01/2025","04:38:33","4.64","6.83"
"12/01/2025","02:44:32","2.74",""
"13/01/2025","06:12:33","6.21","35.00"
"14/01/2025","06:37:05","6.62","48.32"
"15/01/2025","06:45:45","6.76",""
"16/01/2025","07:25:46","7.43","91.91"
"17/01/2025","08:23:14","8.39","42.92"
"18/01/2025","05:34:35","5.58",""
"19/01/2025","06:28:49","6.48",""
"20/01/2025","05:58:01","5.97",""
"21/01/2025","04:47:43","4.80","80.65"
